DrugName_norm,DrugClass
medifirst plus cold relief,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
medique decorel forte plus,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
medique at home cold relief,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
moore medical moorebrand severe cold relief,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
mucinex childrens,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
mucinex childrens cough and congestion,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
mucinex childrens multisymptom cold,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
mucinex fastmax,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
mucinex freefrom cold and flu daytime,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
mucinex freefrom severe congestion and cough,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
mucinex junior,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
mucinex sinusmax,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
mucus congestion and cough relief,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
mucus relief cold flu sore throat,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
mucus relief cold flu and sore throat,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
mucus relief cold flu and sore throat max,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
mucus relief severe congestion and cold max,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
mucus relief severe congestion and cough,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
mucus relief severe congestion and cough multi symptom relief,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
multi symptom cold,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
multisymptom cold flu and sore throat,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
multisymptom cold and fever,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
nivanex dmx,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
novalgina,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
palagrip,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
physicians care cold cough,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
pressure pain cold,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
pressure pain and cold suphedrine pe,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
pressure plus pain pe plus cold,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
rompe pecho max multi symptoms,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
sudafed pe head congestion plus flu severe,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
sanatos multi symptom,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
sanatos turbo,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
sedalmex xl flu,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
severe congestion and cough,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
severe congestion and cough relief,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
severe cough and congestion,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
sinus pressure pain and cough,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
sunmark severe day time,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
supress dx pediatric drops,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
texaclear daytime cough coldflu,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
tylenol cold plus flu severe,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
tylenol cold plus flu,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
target maximum strength cold flu and sore throat,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
texaclear kids cough and cold,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
topco tussin cf max,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
tukol children cough and congestion,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
tukol cough and cold honey flavor,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
tukol cough and congestion,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
tussin cf,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
tussnex fm cold flu and sore throat,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
tussnex fm severe cough and congestion,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
twkof children,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
unishield cold relief,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
up and up maximum strength fast mucus relief,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
vanacof dm,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
vanatab dm,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
vicks,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
vicks dayquil severe,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
vicks dayquil severe hot remedy,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
vicks formula,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
vicks nyquil severe hot remedy,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
vicks childrens,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
winco foods childrens multi symptom cold,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
basic care daytime severe cold and flu,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
betr cold and flu daytime relief,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
cold relief,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
daytime severe cold,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
dg health childrens mucus relief,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
dg health day time severe cold and flu relief,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
equaline daytime severe cold and flu relief,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
mucus relief cold and flu,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
pressure and pain sinus relief pe,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
sinus pressure and pain and cough,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
topcare tussin cf,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
tussin cf max,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
axim sinux severe mucus,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
cvs,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
cvs severe congestion and pain relief,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
childrens mucinex stuffy nose and cold,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
cold head congestion severe,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
cold and head congestion relief,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
cold and sinus,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
ed bron gp,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
gilphex,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
head congestion,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
head congestion mucus pe,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
head congestion plus mucus pe,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
head congestion and mucus,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
lil drug store multisymptom sinus relief,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
lil drug store tylenol sinus severe,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
maximum strength mucinex sinusmax severe congestion and pain,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
maximum strength mucinex sinusmax severe congestion and pain clear and cool,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
medique ccp caffeine free,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
mucinex freefrom cold flu and congestion,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
