DrugID,DrugName,DrugClass
0032-7001-22,Renacidin,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Irrigation"
4491-1043-92,Lungex,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Copper, Copper-containing Intrauterine Device, Decreased Coagulation Factor Activity, Decreased Embryonic Implantation, Decreased Sperm Motility, Inhibit Ovum Fertilization"
7713-0000-12,AV-1000,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
7713-0000-22,AV100,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0762-9700-62,Anticoagulant Sodium Citrate,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
7713-0000-42,B100,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
7713-0000-32,BT100S,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0698-4242-32,CVS Health,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
4895-1309-12,Cichorium Oxalis,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0594-6932-12,CitriPlus,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0720-0003-02,Citric Buffered Normal Saline,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
7713-0000-52,Cloon Stick,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0818-0304-02,Cygzyme,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
5826-4010-32,D-97,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0651-9720-42,Emetrol Chewables,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0806-4204-02,GREEN FRESH,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0479-9320-42,HAND SANITIZER,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0578-2642-02,Haemonetics Anticoagulant Sodium Citrate,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0094-2960-12,InterSol,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0827-1100-32,Lab 52 Essential Oil Sensitive,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
4491-1028-42,Liverex,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
4491-1041-92,Liverex I,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0806-4205-02,NATURE CLEAN,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0523-8924-22,Nauzene,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0317-2212-92,POTASSIUM CITRATE,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0806-4206-02,PURILAB,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0697-5110-02,Phexxi,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0024-5007-02,Potassium Citrate,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0727-8920-22,Potassium citrate,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
7051-8332-82,Potassium-cit,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0245-7112-32,REGIOCIT,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0732-0858-02,Sal de Uvas Picot,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0145-3788-12,Sodium Citrate 4% w/v Anticoagulant,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0633-2350-52,Sodium Citrate Blood,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0094-2950-42,"Sodium Citrate Blood-Pack Units, (PL 146 Plastic)","Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0145-3788-32,Sodium Citrate w/v Anticoagulant,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0094-2960-32,Solucion InterSol,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0017-8060-02,UROCIT-K,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
7499-7002-22,W.SKIN TREEMON CLEANSING WATER,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0509-6500-12,stop hair,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
2373-1603-02,triCitrasol,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
0028-0410-02,Alka-Seltzer Gold,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Increased Large Intestinal Motility, Increased Large Intestinal Motility, Inhibition Large Intestine Fluid/Electrolyte Absorption, Inhibition Large Intestine Fluid/Electrolyte Absorption, Osmotic Activity, Osmotic Activity, Osmotic Laxative, Osmotic Laxative, Potassium Compounds, Potassium Salt"
0170-8929-92,GUNA-ALLERGY-PREV,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Increased Large Intestinal Motility, Inhibition Large Intestine Fluid/Electrolyte Absorption, Interferon gamma, Interferon-gamma, Magnetic Resonance Contrast Activity, Osmotic Activity, Osmotic Laxative, Paramagnetic Contrast Agent"
0028-0004-72,Alka-Seltzer Heartburn,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Increased Large Intestinal Motility, Inhibition Large Intestine Fluid/Electrolyte Absorption, Osmotic Activity, Osmotic Laxative"
0028-0007-92,Alka-Seltzer Heartburn Relief Extra Strength,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Increased Large Intestinal Motility, Inhibition Large Intestine Fluid/Electrolyte Absorption, Osmotic Activity, Osmotic Laxative"
0028-0008-32,Alka-Seltzer Heartburn Relief Lemon Lime,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Increased Large Intestinal Motility, Inhibition Large Intestine Fluid/Electrolyte Absorption, Osmotic Activity, Osmotic Laxative"
0432-0385-22,Anticoagulant Citrate Dextrose A ACD-A,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Increased Large Intestinal Motility, Inhibition Large Intestine Fluid/Electrolyte Absorption, Osmotic Activity, Osmotic Laxative"
0677-5117-42,Sal De Uvas Picot,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Increased Large Intestinal Motility, Inhibition Large Intestine Fluid/Electrolyte Absorption, Osmotic Activity, Osmotic Laxative"
6308-3204-82,Cell Energy Performance Drops,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Radiographic Contrast Agent, X-Ray Contrast Activity"
4385-7040-52,Pneumotox,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Sclerosing Activity, Sclerosing Agent, Skin Barrier Activity, Vascular Sclerosing Activity"
0103-6179-32,E-Z-GAS,"Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Skin Barrier Activity"
0245-7110-32,PRISMASOL,"Acidifying Activity, Blood Coagulation Factor, Calcium, Calculi Dissolution Agent, Cations, Divalent, Increased Coagulation Factor Activity, Increased Large Intestinal Motility, Increased Large Intestinal Motility, Increased Large Intestinal Motility, Increased Large Intestinal Motility, Inhibition Large Intestine Fluid/Electrolyte Absorption, Inhibition Large Intestine Fluid/Electrolyte Absorption, Inhibition Large Intestine Fluid/Electrolyte Absorption, Inhibition Large Intestine Fluid/Electrolyte Absorption, Inhibition Small Intestine Fluid/Electrolyte Absorption, Magnesium Ion Exchange Activity, Osmotic Activity, Osmotic Activity, Osmotic Activity, Osmotic Activity, Osmotic Laxative, Osmotic Laxative, Osmotic Laxative, Osmotic Laxative, Potassium Compounds, Potassium Salt, Stimulation Large Intestine Fluid/Electrolyte Secretion"
0705-2902-72,Lacellate Solution - 1000,"Acidifying Activity, Blood Coagulation Factor, Calcium, Cations, Divalent, Increased Coagulation Factor Activity, Increased Large Intestinal Motility, Inhibition Large Intestine Fluid/Electrolyte Absorption, Osmotic Activity, Osmotic Laxative, Potassium Compounds, Potassium Salt"
0705-2902-52,Lacellate Solution - 250,"Acidifying Activity, Blood Coagulation Factor, Calcium, Cations, Divalent, Increased Coagulation Factor Activity, Increased Large Intestinal Motility, Inhibition Large Intestine Fluid/Electrolyte Absorption, Osmotic Activity, Osmotic Laxative, Potassium Compounds, Potassium Salt"
0705-2902-62,Lacellate Solution - 500,"Acidifying Activity, Blood Coagulation Factor, Calcium, Cations, Divalent, Increased Coagulation Factor Activity, Increased Large Intestinal Motility, Inhibition Large Intestine Fluid/Electrolyte Absorption, Osmotic Activity, Osmotic Laxative, Potassium Compounds, Potassium Salt"
0459-6343-92,Constulose,"Acidifying Activity, Osmotic Activity, Osmotic Laxative, Stimulation Large Intestine Fluid/Electrolyte Secretion"
0459-6343-82,Enulose,"Acidifying Activity, Osmotic Activity, Osmotic Laxative, Stimulation Large Intestine Fluid/Electrolyte Secretion"
0604-3203-82,Generlac,"Acidifying Activity, Osmotic Activity, Osmotic Laxative, Stimulation Large Intestine Fluid/Electrolyte Secretion"
0012-1057-72,LACTULOSE,"Acidifying Activity, Osmotic Activity, Osmotic Laxative, Stimulation Large Intestine Fluid/Electrolyte Secretion"
0011-6400-52,Lactulose,"Acidifying Activity, Osmotic Activity, Osmotic Laxative, Stimulation Large Intestine Fluid/Electrolyte Secretion"
0610-3747-12,Lactulose Solution,"Acidifying Activity, Osmotic Activity, Osmotic Laxative, Stimulation Large Intestine Fluid/Electrolyte Secretion"
0552-9281-12,Cosmegen,"Actinomycin, Nucleic Acid Synthesis Inhibitors, Protein Synthesis Inhibitors"
0551-5043-12,DACTINOMYCIN,"Actinomycin, Nucleic Acid Synthesis Inhibitors, Protein Synthesis Inhibitors"
0426-5800-82,Dactinomycin,"Actinomycin, Nucleic Acid Synthesis Inhibitors, Protein Synthesis Inhibitors"
3982-2210-02,dactinomycin,"Actinomycin, Nucleic Acid Synthesis Inhibitors, Protein Synthesis Inhibitors"
0000-6483-72,PNEUMOVAX 23,"Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated"
0000-5197-12,PREVNAR 13,"Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Vaccines, Conjugate, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated"
0000-5200-02,Prevnar 20,"Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Vaccines, Conjugate, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated"
0000-6432-92,VAXNEUVANCE,"Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Inactivated Pneumococcal Vaccine, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Pneumococcal Vaccines, Vaccines, Conjugate, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated"
0633-6124-32,VAXELIS,"Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Diphtheria Toxoid, Haemophilus Vaccines, Hepatitis B Vaccines, Inactivated Bordetella Pertussis Vaccine, Inactivated Bordetella Pertussis Vaccine, Inactivated Bordetella Pertussis Vaccine, Inactivated Clostridium Tetani Vaccine, Inactivated Corynebacterium Diphtheriae Vaccine, Inactivated Haemophilus Influenzae B Vaccine, Inactivated Hepatitis B Virus Vaccine, Inactivated Poliovirus Vaccine, Inactivated Poliovirus Vaccine, Inactivated Poliovirus Vaccine, Pertussis Vaccine, Pertussis Vaccine, Pertussis Vaccine, Poliovirus Vaccines, Poliovirus Vaccines, Poliovirus Vaccines, Tetanus Toxoid, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated"
0581-6081-22,KINRIX,"Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Diphtheria Toxoid, Inactivated Bordetella Pertussis Vaccine, Inactivated Bordetella Pertussis Vaccine, Inactivated Bordetella Pertussis Vaccine, Inactivated Clostridium Tetani Vaccine, Inactivated Corynebacterium Diphtheriae Vaccine, Inactivated Poliovirus Vaccine, Inactivated Poliovirus Vaccine, Inactivated Poliovirus Vaccine, Pertussis Vaccine, Pertussis Vaccine, Pertussis Vaccine, Poliovirus Vaccines, Poliovirus Vaccines, Poliovirus Vaccines, Tetanus Toxoid, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated"
0581-6081-12,PEDIARIX,"Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Diphtheria Toxoid, Inactivated Bordetella Pertussis Vaccine, Inactivated Bordetella Pertussis Vaccine, Inactivated Bordetella Pertussis Vaccine, Inactivated Clostridium Tetani Vaccine, Inactivated Corynebacterium Diphtheriae Vaccine, Inactivated Poliovirus Vaccine, Inactivated Poliovirus Vaccine, Inactivated Poliovirus Vaccine, Pertussis Vaccine, Pertussis Vaccine, Pertussis Vaccine, Poliovirus Vaccines, Poliovirus Vaccines, Poliovirus Vaccines, Tetanus Toxoid, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated"
0492-8156-22,QUADRACEL,"Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Diphtheria Toxoid, Inactivated Bordetella Pertussis Vaccine, Inactivated Bordetella Pertussis Vaccine, Inactivated Bordetella Pertussis Vaccine, Inactivated Clostridium Tetani Vaccine, Inactivated Corynebacterium Diphtheriae Vaccine, Inactivated Poliovirus Vaccine, Inactivated Poliovirus Vaccine, Inactivated Poliovirus Vaccine, Pertussis Vaccine, Pertussis Vaccine, Pertussis Vaccine, Poliovirus Vaccines, Poliovirus Vaccines, Poliovirus Vaccines, Tetanus Toxoid, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated"
6308-3603-32,Travel Immunization Detox,"Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Allergens, Cell-mediated Immunity, Hepatitis A Vaccines, Inactivated Clostridium Tetani Vaccine, Inactivated Hepatitis A Virus Vaccine, Inactivated Japanese Encephalitis Virus Vaccine, Inactivated Poliovirus Vaccine, Increased Histamine Release, Increased IgG Production, Insect Proteins, Japanese Encephalitis Vaccines, Live Attenuated Yellow Fever Virus Vaccine, Non-Standardized Insect Allergenic Extract, Poliovirus Vaccines, Tetanus Toxoid, Vaccines, Attenuated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Yellow Fever Vaccine"
0492-8140-02,Adacel,"Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Diphtheria Toxoid, Inactivated Bordetella Pertussis Vaccine, Inactivated Bordetella Pertussis Vaccine, Inactivated Bordetella Pertussis Vaccine, Inactivated Clostridium Tetani Vaccine, Inactivated Corynebacterium Diphtheriae Vaccine, Pertussis Vaccine, Pertussis Vaccine, Pertussis Vaccine, Tetanus Toxoid, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated"
5009-0137-72,BOOSTRIX,"Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Diphtheria Toxoid, Inactivated Bordetella Pertussis Vaccine, Inactivated Bordetella Pertussis Vaccine, Inactivated Bordetella Pertussis Vaccine, Inactivated Clostridium Tetani Vaccine, Inactivated Corynebacterium Diphtheriae Vaccine, Pertussis Vaccine, Pertussis Vaccine, Pertussis Vaccine, Tetanus Toxoid, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated"
0492-8128-62,DAPTACEL,"Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Diphtheria Toxoid, Inactivated Bordetella Pertussis Vaccine, Inactivated Bordetella Pertussis Vaccine, Inactivated Bordetella Pertussis Vaccine, Inactivated Clostridium Tetani Vaccine, Inactivated Corynebacterium Diphtheriae Vaccine, Pertussis Vaccine, Pertussis Vaccine, Pertussis Vaccine, Tetanus Toxoid, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated"
5009-0288-32,INFANRIX,"Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Diphtheria Toxoid, Inactivated Bordetella Pertussis Vaccine, Inactivated Bordetella Pertussis Vaccine, Inactivated Bordetella Pertussis Vaccine, Inactivated Clostridium Tetani Vaccine, Inactivated Corynebacterium Diphtheriae Vaccine, Pertussis Vaccine, Pertussis Vaccine, Pertussis Vaccine, Tetanus Toxoid, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated, Vaccines, Inactivated"
0000-6404-72,RotaTeq,"Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Live Rotavirus Vaccine, Live Rotavirus Vaccine, Live Rotavirus Vaccine, Live Rotavirus Vaccine, Live Rotavirus Vaccine, Rotavirus Vaccines, Rotavirus Vaccines, Rotavirus Vaccines, Rotavirus Vaccines, Rotavirus Vaccines, Vaccines, Live, Unattenuated, Vaccines, Live, Unattenuated, Vaccines, Live, Unattenuated, Vaccines, Live, Unattenuated, Vaccines, Live, Unattenuated"
0000-6417-12,ProQuad,"Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Actively Acquired Immunity, Chickenpox Vaccine, Herpes Zoster Vaccine, Live Attenuated Herpes Zoster Virus Vaccine, Live Attenuated Measles Virus Vaccine, Live Attenuated Mumps Virus Vaccine, Live Attenuated Rubella Virus Vaccine, Live Attenuated Varicella Zoster Virus Vaccine, Measles Vaccine, Mumps Vaccine, Rubella Vaccine, Vaccines, Attenuated, Vaccines, Attenuated, Vaccines, Attenuated, Vaccines, Attenuated"
